mode,size_bytes,size_kb,N,avg_total_ns,ns_per_iter
sequential,44032,43,11008,900.0000,0.0818
random,44032,43,11008,331857.1429,30.1469
random_index,44032,43,11008,4314.2857,0.3919
sequential,45056,44,11264,1000.0000,0.0888
random,45056,44,11264,340728.5714,30.2493
random_index,45056,44,11264,4214.2857,0.3741
sequential,46080,45,11520,900.0000,0.0781
random,46080,45,11520,347628.5714,30.1761
random_index,46080,45,11520,4314.2857,0.3745
sequential,47104,46,11776,957.1429,0.0813
random,47104,46,11776,406457.1429,34.5157
random_index,47104,46,11776,4428.5714,0.3761
sequential,48128,47,12032,1100.0000,0.0914
random,48128,47,12032,361771.4286,30.0674
random_index,48128,47,12032,5028.5714,0.4179
sequential,49152,48,12288,1042.8571,0.0849
random,49152,48,12288,368814.2857,30.0142
random_index,49152,48,12288,5700.0000,0.4639
sequential,50176,49,12544,985.7143,0.0786
random,50176,49,12544,377828.5714,30.1203
random_index,50176,49,12544,5414.2857,0.4316
sequential,51200,50,12800,1028.5714,0.0804
random,51200,50,12800,387385.7143,30.2645
random_index,51200,50,12800,4800.0000,0.3750
sequential,52224,51,13056,1742.8571,0.1335
random,52224,51,13056,393100.0000,30.1088
random_index,52224,51,13056,5771.4286,0.4421
sequential,53248,52,13312,1057.1429,0.0794
random,53248,52,13312,400728.5714,30.1028
random_index,53248,52,13312,5914.2857,0.4443
sequential,54272,53,13568,2642.8571,0.1948
random,54272,53,13568,408142.8571,30.0813
random_index,54272,53,13568,6085.7143,0.4485
sequential,55296,54,13824,2442.8571,0.1767
random,55296,54,13824,427457.1429,30.9214
random_index,55296,54,13824,5200.0000,0.3762
sequential,56320,55,14080,1114.2857,0.0791
random,56320,55,14080,422371.4286,29.9980
random_index,56320,55,14080,6414.2857,0.4556
sequential,57344,56,14336,2300.0000,0.1604
random,57344,56,14336,431757.1429,30.1170
random_index,57344,56,14336,6585.7143,0.4594
sequential,58368,57,14592,1142.8571,0.0783
random,58368,57,14592,440700.0000,30.2015
random_index,58368,57,14592,6785.7143,0.4650
sequential,59392,58,14848,1185.7143,0.0799
random,59392,58,14848,447085.7143,30.1108
random_index,59392,58,14848,6900.0000,0.4647
sequential,60416,59,15104,3128.5714,0.2071
random,60416,59,15104,453571.4286,30.0299
random_index,60416,59,15104,7085.7143,0.4691
sequential,61440,60,15360,1185.7143,0.0772
random,61440,60,15360,464828.5714,30.2623
random_index,61440,60,15360,7200.0000,0.4688
sequential,62464,61,15616,1200.0000,0.0768
random,62464,61,15616,469142.8571,30.0424
random_index,62464,61,15616,7400.0000,0.4739
sequential,63488,62,15872,1242.8571,0.0783
random,63488,62,15872,480471.4286,30.2716
random_index,63488,62,15872,7528.5714,0.4743
sequential,64512,63,16128,1257.1429,0.0779
random,64512,63,16128,483628.5714,29.9869
random_index,64512,63,16128,7757.1429,0.4810
