mode,size_bytes,size_kb,N,avg_total_ns,ns_per_iter
sequential,211968,207,52992,6171.4286,0.1165
random,211968,207,52992,1878428.5714,35.4474
random_index,211968,207,52992,28685.7143,0.5413
sequential,212992,208,53248,6857.1429,0.1288
random,212992,208,53248,1894500.0000,35.5788
random_index,212992,208,53248,36942.8571,0.6938
sequential,214016,209,53504,8942.8571,0.1671
random,214016,209,53504,2050000.0000,38.3149
random_index,214016,209,53504,37728.5714,0.7052
sequential,215040,210,53760,6200.0000,0.1153
random,215040,210,53760,1727814.2857,32.1394
random_index,215040,210,53760,31828.5714,0.5920
sequential,216064,211,54016,7328.5714,0.1357
random,216064,211,54016,1738485.7143,32.1846
random_index,216064,211,54016,33442.8571,0.6191
sequential,217088,212,54272,5400.0000,0.0995
random,217088,212,54272,2038328.5714,37.5576
random_index,217088,212,54272,58257.1429,1.0734
sequential,218112,213,54528,8257.1429,0.1514
random,218112,213,54528,2286900.0000,41.9399
random_index,218112,213,54528,31028.5714,0.5690
sequential,219136,214,54784,5842.8571,0.1067
random,219136,214,54784,1928571.4286,35.2032
random_index,219136,214,54784,34742.8571,0.6342
sequential,220160,215,55040,7014.2857,0.1274
random,220160,215,55040,2036857.1429,37.0069
random_index,220160,215,55040,38700.0000,0.7031
sequential,221184,216,55296,13385.7143,0.2421
random,221184,216,55296,1992242.8571,36.0287
random_index,221184,216,55296,35814.2857,0.6477
sequential,222208,217,55552,5957.1429,0.1072
random,222208,217,55552,1844014.2857,33.1944
random_index,222208,217,55552,37942.8571,0.6830
sequential,223232,218,55808,4985.7143,0.0893
random,223232,218,55808,2097085.7143,37.5768
random_index,223232,218,55808,38442.8571,0.6888
sequential,224256,219,56064,4728.5714,0.0843
random,224256,219,56064,1644128.5714,29.3259
random_index,224256,219,56064,36771.4286,0.6559
sequential,225280,220,56320,6357.1429,0.1129
random,225280,220,56320,2003885.7143,35.5804
random_index,225280,220,56320,49357.1429,0.8764
sequential,226304,221,56576,6800.0000,0.1202
random,226304,221,56576,2179985.7143,38.5320
random_index,226304,221,56576,35000.0000,0.6186
sequential,227328,222,56832,5328.5714,0.0938
random,227328,222,56832,1929542.8571,33.9517
random_index,227328,222,56832,38785.7143,0.6825
sequential,228352,223,57088,6900.0000,0.1209
random,228352,223,57088,1725800.0000,30.2305
random_index,228352,223,57088,33942.8571,0.5946
sequential,229376,224,57344,4514.2857,0.0787
random,229376,224,57344,1790757.1429,31.2283
random_index,229376,224,57344,34642.8571,0.6041
sequential,230400,225,57600,7271.4286,0.1262
random,230400,225,57600,1947528.5714,33.8113
random_index,230400,225,57600,42928.5714,0.7453
sequential,231424,226,57856,14985.7143,0.2590
random,231424,226,57856,1922742.8571,33.2332
random_index,231424,226,57856,45614.2857,0.7884
sequential,232448,227,58112,8014.2857,0.1379
random,232448,227,58112,2080414.2857,35.8001
random_index,232448,227,58112,33700.0000,0.5799
sequential,233472,228,58368,4971.4286,0.0852
random,233472,228,58368,1928700.0000,33.0438
random_index,233472,228,58368,35842.8571,0.6141
sequential,234496,229,58624,7028.5714,0.1199
random,234496,229,58624,2128271.4286,36.3038
random_index,234496,229,58624,43857.1429,0.7481
sequential,235520,230,58880,6900.0000,0.1172
random,235520,230,58880,2936242.8571,49.8683
random_index,235520,230,58880,46271.4286,0.7859
sequential,236544,231,59136,6971.4286,0.1179
random,236544,231,59136,2345714.2857,39.6664
random_index,236544,231,59136,93928.5714,1.5883
sequential,237568,232,59392,9971.4286,0.1679
random,237568,232,59392,2878742.8571,48.4702
random_index,237568,232,59392,42257.1429,0.7115
sequential,238592,233,59648,7357.1429,0.1233
random,238592,233,59648,2606900.0000,43.7047
random_index,238592,233,59648,66342.8571,1.1122
sequential,239616,234,59904,7371.4286,0.1231
random,239616,234,59904,2256742.8571,37.6727
random_index,239616,234,59904,81371.4286,1.3584
sequential,240640,235,60160,6042.8571,0.1004
random,240640,235,60160,2748828.5714,45.6920
random_index,240640,235,60160,42642.8571,0.7088
sequential,241664,236,60416,18442.8571,0.3053
random,241664,236,60416,2344600.0000,38.8076
random_index,241664,236,60416,41000.0000,0.6786
sequential,242688,237,60672,7542.8571,0.1243
random,242688,237,60672,2243042.8571,36.9700
random_index,242688,237,60672,38314.2857,0.6315
sequential,243712,238,60928,6757.1429,0.1109
random,243712,238,60928,2914614.2857,47.8370
random_index,243712,238,60928,42414.2857,0.6961
sequential,244736,239,61184,5314.2857,0.0869
random,244736,239,61184,2603957.1429,42.5594
random_index,244736,239,61184,43400.0000,0.7093
sequential,245760,240,61440,7442.8571,0.1211
random,245760,240,61440,3359428.5714,54.6782
random_index,245760,240,61440,94171.4286,1.5327
sequential,246784,241,61696,19671.4286,0.3188
random,246784,241,61696,5913485.7143,95.8488
random_index,246784,241,61696,46285.7143,0.7502
sequential,247808,242,61952,14542.8571,0.2347
random,247808,242,61952,4828985.7143,77.9472
random_index,247808,242,61952,38671.4286,0.6242
sequential,248832,243,62208,8357.1429,0.1343
random,248832,243,62208,2144171.4286,34.4678
random_index,248832,243,62208,58614.2857,0.9422
sequential,249856,244,62464,8157.1429,0.1306
random,249856,244,62464,1941514.2857,31.0821
random_index,249856,244,62464,108757.1429,1.7411
sequential,250880,245,62720,11271.4286,0.1797
random,250880,245,62720,2105128.5714,33.5639
random_index,250880,245,62720,45028.5714,0.7179
sequential,251904,246,62976,8442.8571,0.1341
random,251904,246,62976,2164928.5714,34.3770
random_index,251904,246,62976,40857.1429,0.6488
sequential,252928,247,63232,5214.2857,0.0825
random,252928,247,63232,2307085.7143,36.4860
random_index,252928,247,63232,49114.2857,0.7767
sequential,253952,248,63488,8128.5714,0.1280
random,253952,248,63488,3306271.4286,52.0771
random_index,253952,248,63488,50114.2857,0.7894
sequential,254976,249,63744,8500.0000,0.1333
random,254976,249,63744,3011200.0000,47.2390
random_index,254976,249,63744,49271.4286,0.7730
sequential,256000,250,64000,20271.4286,0.3167
random,256000,250,64000,5474585.7143,85.5404
random_index,256000,250,64000,48014.2857,0.7502
sequential,257024,251,64256,6714.2857,0.1045
random,257024,251,64256,2351785.7143,36.6003
random_index,257024,251,64256,43000.0000,0.6692
sequential,258048,252,64512,9585.7143,0.1486
random,258048,252,64512,2608028.5714,40.4270
random_index,258048,252,64512,43385.7143,0.6725
sequential,259072,253,64768,6928.5714,0.1070
random,259072,253,64768,2196871.4286,33.9191
random_index,259072,253,64768,39271.4286,0.6063
sequential,260096,254,65024,10228.5714,0.1573
random,260096,254,65024,2116157.1429,32.5442
random_index,260096,254,65024,44242.8571,0.6804
sequential,261120,255,65280,6300.0000,0.0965
random,261120,255,65280,1994157.1429,30.5478
random_index,261120,255,65280,49314.2857,0.7554
sequential,262144,256,65536,5328.5714,0.0813
random,262144,256,65536,1950600.0000,29.7638
random_index,262144,256,65536,40000.0000,0.6104
sequential,263168,257,65792,5857.1429,0.0890
random,263168,257,65792,2033057.1429,30.9013
random_index,263168,257,65792,38800.0000,0.5897
sequential,264192,258,66048,5614.2857,0.0850
random,264192,258,66048,2038142.8571,30.8585
random_index,264192,258,66048,44185.7143,0.6690
sequential,265216,259,66304,5871.4286,0.0886
random,265216,259,66304,1995600.0000,30.0977
random_index,265216,259,66304,46285.7143,0.6981
sequential,266240,260,66560,9628.5714,0.1447
random,266240,260,66560,1962471.4286,29.4842
random_index,266240,260,66560,39228.5714,0.5894
sequential,267264,261,66816,15014.2857,0.2247
random,267264,261,66816,1933314.2857,28.9349
random_index,267264,261,66816,39000.0000,0.5837
sequential,268288,262,67072,8900.0000,0.1327
random,268288,262,67072,1978185.7143,29.4935
random_index,268288,262,67072,38185.7143,0.5693
sequential,269312,263,67328,5200.0000,0.0772
random,269312,263,67328,1960442.8571,29.1178
random_index,269312,263,67328,40500.0000,0.6015
sequential,270336,264,67584,6014.2857,0.0890
random,270336,264,67584,2123928.5714,31.4265
random_index,270336,264,67584,49214.2857,0.7282
sequential,271360,265,67840,5457.1429,0.0804
random,271360,265,67840,2147371.4286,31.6535
random_index,271360,265,67840,55600.0000,0.8196
sequential,272384,266,68096,5642.8571,0.0829
random,272384,266,68096,2115085.7143,31.0604
random_index,272384,266,68096,41071.4286,0.6031
sequential,273408,267,68352,6185.7143,0.0905
random,273408,267,68352,2382457.1429,34.8557
random_index,273408,267,68352,42114.2857,0.6161
sequential,274432,268,68608,5771.4286,0.0841
random,274432,268,68608,2142842.8571,31.2331
random_index,274432,268,68608,51871.4286,0.7561
sequential,275456,269,68864,11142.8571,0.1618
random,275456,269,68864,2383385.7143,34.6100
random_index,275456,269,68864,47700.0000,0.6927
sequential,276480,270,69120,8385.7143,0.1213
random,276480,270,69120,2390814.2857,34.5893
random_index,276480,270,69120,46414.2857,0.6715
sequential,277504,271,69376,5728.5714,0.0826
random,277504,271,69376,2079671.4286,29.9768
random_index,277504,271,69376,41457.1429,0.5976
sequential,278528,272,69632,5457.1429,0.0784
random,278528,272,69632,2068171.4286,29.7015
random_index,278528,272,69632,50400.0000,0.7238
sequential,279552,273,69888,5857.1429,0.0838
random,279552,273,69888,2206057.1429,31.5656
random_index,279552,273,69888,42200.0000,0.6038
sequential,280576,274,70144,5685.7143,0.0811
random,280576,274,70144,2077942.8571,29.6240
random_index,280576,274,70144,48414.2857,0.6902
sequential,281600,275,70400,5457.1429,0.0775
random,281600,275,70400,2056242.8571,29.2080
random_index,281600,275,70400,41542.8571,0.5901
sequential,282624,276,70656,5628.5714,0.0797
random,282624,276,70656,2048314.2857,28.9900
random_index,282624,276,70656,50342.8571,0.7125
sequential,283648,277,70912,6600.0000,0.0931
random,283648,277,70912,2078271.4286,29.3078
random_index,283648,277,70912,42300.0000,0.5965
sequential,284672,278,71168,6571.4286,0.0923
random,284672,278,71168,2055771.4286,28.8862
random_index,284672,278,71168,43442.8571,0.6104
sequential,285696,279,71424,5542.8571,0.0776
random,285696,279,71424,2138071.4286,29.9349
random_index,285696,279,71424,55385.7143,0.7754
sequential,286720,280,71680,8657.1429,0.1208
random,286720,280,71680,2116514.2857,29.5273
random_index,286720,280,71680,37857.1429,0.5281
sequential,287744,281,71936,12842.8571,0.1785
random,287744,281,71936,2215714.2857,30.8012
random_index,287744,281,71936,41071.4286,0.5709
sequential,288768,282,72192,5628.5714,0.0780
random,288768,282,72192,2446542.8571,33.8894
random_index,288768,282,72192,43614.2857,0.6041
sequential,289792,283,72448,5942.8571,0.0820
random,289792,283,72448,2169557.1429,29.9464
random_index,289792,283,72448,49657.1429,0.6854
sequential,290816,284,72704,5657.1429,0.0778
random,290816,284,72704,2247357.1429,30.9111
random_index,290816,284,72704,41685.7143,0.5734
sequential,291840,285,72960,5685.7143,0.0779
random,291840,285,72960,2109257.1429,28.9098
random_index,291840,285,72960,43142.8571,0.5913
sequential,292864,286,73216,5714.2857,0.0780
random,292864,286,73216,2187471.4286,29.8770
random_index,292864,286,73216,52542.8571,0.7176
sequential,293888,287,73472,5728.5714,0.0780
random,293888,287,73472,2126357.1429,28.9411
random_index,293888,287,73472,43771.4286,0.5958
sequential,294912,288,73728,12371.4286,0.1678
random,294912,288,73728,2168571.4286,29.4131
random_index,294912,288,73728,43171.4286,0.5855
sequential,295936,289,73984,9800.0000,0.1325
random,295936,289,73984,2228857.1429,30.1262
random_index,295936,289,73984,59542.8571,0.8048
sequential,296960,290,74240,9871.4286,0.1330
random,296960,290,74240,2461385.7143,33.1544
random_index,296960,290,74240,44485.7143,0.5992
sequential,297984,291,74496,7728.5714,0.1037
random,297984,291,74496,2156542.8571,28.9484
random_index,297984,291,74496,39642.8571,0.5321
sequential,299008,292,74752,6057.1429,0.0810
random,299008,292,74752,2236014.2857,29.9124
random_index,299008,292,74752,51771.4286,0.6926
sequential,300032,293,75008,5857.1429,0.0781
random,300032,293,75008,2224085.7143,29.6513
random_index,300032,293,75008,55014.2857,0.7334
sequential,301056,294,75264,8671.4286,0.1152
random,301056,294,75264,2244914.2857,29.8272
random_index,301056,294,75264,50057.1429,0.6651
sequential,302080,295,75520,5857.1429,0.0776
random,302080,295,75520,2208314.2857,29.2414
random_index,302080,295,75520,46900.0000,0.6210
sequential,303104,296,75776,9314.2857,0.1229
random,303104,296,75776,2301814.2857,30.3766
random_index,303104,296,75776,52571.4286,0.6938
sequential,304128,297,76032,9514.2857,0.1251
random,304128,297,76032,2220628.5714,29.2065
random_index,304128,297,76032,45100.0000,0.5932
sequential,305152,298,76288,5971.4286,0.0783
random,305152,298,76288,2237128.5714,29.3248
random_index,305152,298,76288,48142.8571,0.6311
sequential,306176,299,76544,10271.4286,0.1342
random,306176,299,76544,2307014.2857,30.1397
random_index,306176,299,76544,61314.2857,0.8010
sequential,307200,300,76800,8271.4286,0.1077
random,307200,300,76800,2282800.0000,29.7240
random_index,307200,300,76800,45742.8571,0.5956
sequential,308224,301,77056,8300.0000,0.1077
random,308224,301,77056,2305471.4286,29.9194
random_index,308224,301,77056,47900.0000,0.6216
sequential,309248,302,77312,25128.5714,0.3250
random,309248,302,77312,2487271.4286,32.1719
random_index,309248,302,77312,56614.2857,0.7323
sequential,310272,303,77568,12471.4286,0.1608
random,310272,303,77568,2649728.5714,34.1601
random_index,310272,303,77568,47800.0000,0.6162
sequential,311296,304,77824,6957.1429,0.0894
random,311296,304,77824,2336785.7143,30.0265
random_index,311296,304,77824,48600.0000,0.6245
sequential,312320,305,78080,6028.5714,0.0772
random,312320,305,78080,2308300.0000,29.5633
random_index,312320,305,78080,47371.4286,0.6067
sequential,313344,306,78336,9085.7143,0.1160
random,313344,306,78336,2294371.4286,29.2889
random_index,313344,306,78336,56757.1429,0.7245
sequential,314368,307,78592,9771.4286,0.1243
random,314368,307,78592,2446214.2857,31.1255
random_index,314368,307,78592,47214.2857,0.6008
sequential,315392,308,78848,6128.5714,0.0777
random,315392,308,78848,2374400.0000,30.1136
random_index,315392,308,78848,50214.2857,0.6368
sequential,316416,309,79104,6157.1429,0.0778
random,316416,309,79104,2437685.7143,30.8162
random_index,316416,309,79104,54128.5714,0.6843
sequential,317440,310,79360,10757.1429,0.1355
random,317440,310,79360,2343857.1429,29.5345
random_index,317440,310,79360,44057.1429,0.5552
sequential,318464,311,79616,9785.7143,0.1229
random,318464,311,79616,2404971.4286,30.2071
random_index,318464,311,79616,62000.0000,0.7787
sequential,319488,312,79872,6257.1429,0.0783
random,319488,312,79872,2404028.5714,30.0985
random_index,319488,312,79872,53571.4286,0.6707
sequential,320512,313,80128,10642.8571,0.1328
random,320512,313,80128,2792600.0000,34.8517
random_index,320512,313,80128,55857.1429,0.6971
sequential,321536,314,80384,6214.2857,0.0773
random,321536,314,80384,2371414.2857,29.5011
random_index,321536,314,80384,58000.0000,0.7215
sequential,322560,315,80640,9271.4286,0.1150
random,322560,315,80640,2535771.4286,31.4456
random_index,322560,315,80640,43428.5714,0.5385
sequential,323584,316,80896,6328.5714,0.0782
random,323584,316,80896,2415914.2857,29.8644
random_index,323584,316,80896,44528.5714,0.5504
sequential,324608,317,81152,10100.0000,0.1245
random,324608,317,81152,2430428.5714,29.9491
random_index,324608,317,81152,94685.7143,1.1668
sequential,325632,318,81408,9714.2857,0.1193
random,325632,318,81408,2630471.4286,32.3122
random_index,325632,318,81408,54542.8571,0.6700
sequential,326656,319,81664,9885.7143,0.1211
random,326656,319,81664,2428614.2857,29.7391
random_index,326656,319,81664,65271.4286,0.7993
sequential,327680,320,81920,7228.5714,0.0882
random,327680,320,81920,2420485.7143,29.5469
random_index,327680,320,81920,57628.5714,0.7035
sequential,328704,321,82176,6414.2857,0.0781
random,328704,321,82176,2401728.5714,29.2266
random_index,328704,321,82176,52271.4286,0.6361
sequential,329728,322,82432,12800.0000,0.1553
random,329728,322,82432,2389000.0000,28.9815
random_index,329728,322,82432,62214.2857,0.7547
sequential,330752,323,82688,9842.8571,0.1190
random,330752,323,82688,2677057.1429,32.3754
random_index,330752,323,82688,62328.5714,0.7538
sequential,331776,324,82944,8328.5714,0.1004
random,331776,324,82944,2586214.2857,31.1802
random_index,331776,324,82944,46071.4286,0.5555
sequential,332800,325,83200,8285.7143,0.0996
random,332800,325,83200,2488500.0000,29.9099
random_index,332800,325,83200,52385.7143,0.6296
sequential,333824,326,83456,6500.0000,0.0779
random,333824,326,83456,2526742.8571,30.2763
random_index,333824,326,83456,56242.8571,0.6739
sequential,334848,327,83712,12442.8571,0.1486
random,334848,327,83712,2539957.1429,30.3416
random_index,334848,327,83712,55085.7143,0.6580
sequential,335872,328,83968,7171.4286,0.0854
random,335872,328,83968,2745685.7143,32.6992
random_index,335872,328,83968,45271.4286,0.5392
sequential,336896,329,84224,7428.5714,0.0882
random,336896,329,84224,2655257.1429,31.5261
random_index,336896,329,84224,47257.1429,0.5611
sequential,337920,330,84480,6814.2857,0.0807
random,337920,330,84480,2452214.2857,29.0272
random_index,337920,330,84480,50200.0000,0.5942
sequential,338944,331,84736,9057.1429,0.1069
random,338944,331,84736,2502714.2857,29.5354
random_index,338944,331,84736,46685.7143,0.5510
sequential,339968,332,84992,7257.1429,0.0854
random,339968,332,84992,2449500.0000,28.8204
random_index,339968,332,84992,51142.8571,0.6017
sequential,340992,333,85248,6828.5714,0.0801
random,340992,333,85248,2536014.2857,29.7487
random_index,340992,333,85248,54742.8571,0.6422
sequential,342016,334,85504,6685.7143,0.0782
random,342016,334,85504,2582700.0000,30.2056
random_index,342016,334,85504,51028.5714,0.5968
sequential,343040,335,85760,6714.2857,0.0783
random,343040,335,85760,2477342.8571,28.8869
random_index,343040,335,85760,52314.2857,0.6100
sequential,344064,336,86016,9842.8571,0.1144
random,344064,336,86016,2556142.8571,29.7171
random_index,344064,336,86016,60757.1429,0.7063
sequential,345088,337,86272,6685.7143,0.0775
random,345088,337,86272,2682185.7143,31.0899
random_index,345088,337,86272,48442.8571,0.5615
sequential,346112,338,86528,12557.1429,0.1451
random,346112,338,86528,2532357.1429,29.2663
random_index,346112,338,86528,53871.4286,0.6226
sequential,347136,339,86784,6785.7143,0.0782
random,347136,339,86784,2628242.8571,30.2849
random_index,347136,339,86784,56800.0000,0.6545
sequential,348160,340,87040,10428.5714,0.1198
random,348160,340,87040,2721628.5714,31.2687
random_index,348160,340,87040,52114.2857,0.5987
sequential,349184,341,87296,6828.5714,0.0782
random,349184,341,87296,2645057.1429,30.2999
random_index,349184,341,87296,54285.7143,0.6219
sequential,350208,342,87552,7285.7143,0.0832
random,350208,342,87552,2580385.7143,29.4726
random_index,350208,342,87552,53600.0000,0.6122
sequential,351232,343,87808,6857.1429,0.0781
random,351232,343,87808,2704714.2857,30.8026
random_index,351232,343,87808,53571.4286,0.6101
sequential,352256,344,88064,7157.1429,0.0813
random,352256,344,88064,2588257.1429,29.3906
random_index,352256,344,88064,52414.2857,0.5952
sequential,353280,345,88320,6957.1429,0.0788
random,353280,345,88320,2584928.5714,29.2678
random_index,353280,345,88320,63642.8571,0.7206
sequential,354304,346,88576,6871.4286,0.0776
random,354304,346,88576,2630614.2857,29.6990
random_index,354304,346,88576,63400.0000,0.7158
sequential,355328,347,88832,7142.8571,0.0804
random,355328,347,88832,2583957.1429,29.0881
random_index,355328,347,88832,54185.7143,0.6100
sequential,356352,348,89088,7042.8571,0.0791
random,356352,348,89088,2611200.0000,29.3103
random_index,356352,348,89088,54185.7143,0.6082
sequential,357376,349,89344,7042.8571,0.0788
random,357376,349,89344,2600442.8571,29.1060
random_index,357376,349,89344,54328.5714,0.6081
sequential,358400,350,89600,6957.1429,0.0776
random,358400,350,89600,2591900.0000,28.9275
random_index,358400,350,89600,59585.7143,0.6650
sequential,359424,351,89856,7014.2857,0.0781
random,359424,351,89856,2603671.4286,28.9760
random_index,359424,351,89856,54957.1429,0.6116
sequential,360448,352,90112,7342.8571,0.0815
random,360448,352,90112,2602814.2857,28.8842
random_index,360448,352,90112,62214.2857,0.6904
sequential,361472,353,90368,7057.1429,0.0781
random,361472,353,90368,2620214.2857,28.9949
random_index,361472,353,90368,57657.1429,0.6380
sequential,362496,354,90624,7071.4286,0.0780
random,362496,354,90624,2688471.4286,29.6662
random_index,362496,354,90624,122300.0000,1.3495
sequential,363520,355,90880,7071.4286,0.0778
random,363520,355,90880,2636171.4286,29.0072
random_index,363520,355,90880,59100.0000,0.6503
sequential,364544,356,91136,7142.8571,0.0784
random,364544,356,91136,2767085.7143,30.3622
random_index,364544,356,91136,67857.1429,0.7446
sequential,365568,357,91392,7214.2857,0.0789
random,365568,357,91392,2686771.4286,29.3983
random_index,365568,357,91392,72785.7143,0.7964
sequential,366592,358,91648,7157.1429,0.0781
random,366592,358,91648,2749242.8571,29.9978
random_index,366592,358,91648,52328.5714,0.5710
sequential,367616,359,91904,7342.8571,0.0799
random,367616,359,91904,2666171.4286,29.0104
random_index,367616,359,91904,55857.1429,0.6078
sequential,368640,360,92160,8257.1429,0.0896
random,368640,360,92160,2728014.2857,29.6008
random_index,368640,360,92160,58214.2857,0.6317
sequential,369664,361,92416,7528.5714,0.0815
random,369664,361,92416,2689585.7143,29.1030
random_index,369664,361,92416,56457.1429,0.6109
sequential,370688,362,92672,7257.1429,0.0783
random,370688,362,92672,2667871.4286,28.7883
random_index,370688,362,92672,55214.2857,0.5958
sequential,371712,363,92928,8957.1429,0.0964
random,371712,363,92928,2747885.7143,29.5701
random_index,371712,363,92928,71671.4286,0.7713
sequential,372736,364,93184,9428.5714,0.1012
random,372736,364,93184,2837814.2857,30.4539
random_index,372736,364,93184,54928.5714,0.5895
sequential,373760,365,93440,7314.2857,0.0783
random,373760,365,93440,2716571.4286,29.0729
random_index,373760,365,93440,52585.7143,0.5628
sequential,374784,366,93696,7314.2857,0.0781
random,374784,366,93696,2704800.0000,28.8678
random_index,374784,366,93696,57871.4286,0.6177
sequential,375808,367,93952,7400.0000,0.0788
random,375808,367,93952,2752542.8571,29.2973
random_index,375808,367,93952,58257.1429,0.6201
sequential,376832,368,94208,10100.0000,0.1072
random,376832,368,94208,2737457.1429,29.0576
random_index,376832,368,94208,60128.5714,0.6383
sequential,377856,369,94464,9214.2857,0.0975
random,377856,369,94464,2729685.7143,28.8966
random_index,377856,369,94464,56685.7143,0.6001
sequential,378880,370,94720,7400.0000,0.0781
random,378880,370,94720,2748642.8571,29.0186
random_index,378880,370,94720,57657.1429,0.6087
sequential,379904,371,94976,7471.4286,0.0787
random,379904,371,94976,2750271.4286,28.9575
random_index,379904,371,94976,58571.4286,0.6167
sequential,380928,372,95232,7500.0000,0.0788
random,380928,372,95232,2742671.4286,28.7999
random_index,380928,372,95232,58057.1429,0.6096
sequential,381952,373,95488,10300.0000,0.1079
random,381952,373,95488,2825942.8571,29.5947
random_index,381952,373,95488,60085.7143,0.6292
sequential,382976,374,95744,7500.0000,0.0783
random,382976,374,95744,2857185.7143,29.8419
random_index,382976,374,95744,57928.5714,0.6050
sequential,384000,375,96000,9614.2857,0.1001
random,384000,375,96000,2843285.7143,29.6176
random_index,384000,375,96000,60271.4286,0.6278
sequential,385024,376,96256,8800.0000,0.0914
random,385024,376,96256,2940214.2857,30.5458
random_index,385024,376,96256,59242.8571,0.6155
sequential,386048,377,96512,8114.2857,0.0841
random,386048,377,96512,2921614.2857,30.2720
random_index,386048,377,96512,68942.8571,0.7143
sequential,387072,378,96768,8314.2857,0.0859
random,387072,378,96768,2866100.0000,29.6183
random_index,387072,378,96768,76371.4286,0.7892
sequential,388096,379,97024,10628.5714,0.1095
random,388096,379,97024,2859057.1429,29.4675
random_index,388096,379,97024,60071.4286,0.6191
sequential,389120,380,97280,9157.1429,0.0941
random,389120,380,97280,2895200.0000,29.7615
random_index,389120,380,97280,59514.2857,0.6118
sequential,390144,381,97536,8114.2857,0.0832
random,390144,381,97536,2952642.8571,30.2723
random_index,390144,381,97536,61357.1429,0.6291
sequential,391168,382,97792,12928.5714,0.1322
random,391168,382,97792,2893228.5714,29.5855
random_index,391168,382,97792,59757.1429,0.6111
sequential,392192,383,98048,7700.0000,0.0785
random,392192,383,98048,2936571.4286,29.9503
random_index,392192,383,98048,55285.7143,0.5639
sequential,393216,384,98304,9542.8571,0.0971
random,393216,384,98304,2861157.1429,29.1052
random_index,393216,384,98304,60414.2857,0.6146
sequential,394240,385,98560,7742.8571,0.0786
random,394240,385,98560,2935885.7143,29.7878
random_index,394240,385,98560,62000.0000,0.6291
sequential,395264,386,98816,7742.8571,0.0784
random,395264,386,98816,3082385.7143,31.1932
random_index,395264,386,98816,59357.1429,0.6007
sequential,396288,387,99072,8485.7143,0.0857
random,396288,387,99072,3080628.5714,31.0948
random_index,396288,387,99072,60457.1429,0.6102
sequential,397312,388,99328,9357.1429,0.0942
random,397312,388,99328,3003571.4286,30.2389
random_index,397312,388,99328,60228.5714,0.6064
sequential,398336,389,99584,15800.0000,0.1587
random,398336,389,99584,4623385.7143,46.4270
random_index,398336,389,99584,67171.4286,0.6745
sequential,399360,390,99840,12857.1429,0.1288
random,399360,390,99840,3894400.0000,39.0064
random_index,399360,390,99840,111400.0000,1.1158
sequential,400384,391,100096,25885.7143,0.2586
random,400384,391,100096,8025714.2857,80.1802
random_index,400384,391,100096,83685.7143,0.8361
sequential,401408,392,100352,9942.8571,0.0991
random,401408,392,100352,4445600.0000,44.3001
random_index,401408,392,100352,90400.0000,0.9008
sequential,402432,393,100608,13842.8571,0.1376
random,402432,393,100608,3185928.5714,31.6668
random_index,402432,393,100608,79614.2857,0.7913
sequential,403456,394,100864,12728.5714,0.1262
random,403456,394,100864,3812900.0000,37.8024
random_index,403456,394,100864,81414.2857,0.8072
sequential,404480,395,101120,11357.1429,0.1123
random,404480,395,101120,3835100.0000,37.9262
random_index,404480,395,101120,70557.1429,0.6978
sequential,405504,396,101376,12014.2857,0.1185
random,405504,396,101376,3296300.0000,32.5156
random_index,405504,396,101376,73414.2857,0.7242
sequential,406528,397,101632,11671.4286,0.1148
random,406528,397,101632,3702057.1429,36.4261
random_index,406528,397,101632,86528.5714,0.8514
sequential,407552,398,101888,17257.1429,0.1694
random,407552,398,101888,3021685.7143,29.6569
random_index,407552,398,101888,70700.0000,0.6939
sequential,408576,399,102144,11757.1429,0.1151
random,408576,399,102144,3168357.1429,31.0185
random_index,408576,399,102144,81071.4286,0.7937
sequential,409600,400,102400,8028.5714,0.0784
random,409600,400,102400,3138457.1429,30.6490
random_index,409600,400,102400,71442.8571,0.6977
sequential,410624,401,102656,9828.5714,0.0957
random,410624,401,102656,3265657.1429,31.8117
random_index,410624,401,102656,70742.8571,0.6891
sequential,411648,402,102912,9314.2857,0.0905
random,411648,402,102912,3026528.5714,29.4089
random_index,411648,402,102912,64385.7143,0.6256
sequential,412672,403,103168,8057.1429,0.0781
random,412672,403,103168,3079200.0000,29.8465
random_index,412672,403,103168,103985.7143,1.0079
sequential,413696,404,103424,8100.0000,0.0783
random,413696,404,103424,3092371.4286,29.8999
random_index,413696,404,103424,63357.1429,0.6126
sequential,414720,405,103680,9285.7143,0.0896
random,414720,405,103680,3582571.4286,34.5541
random_index,414720,405,103680,77514.2857,0.7476
sequential,415744,406,103936,8457.1429,0.0814
random,415744,406,103936,3026357.1429,29.1175
random_index,415744,406,103936,67514.2857,0.6496
sequential,416768,407,104192,8485.7143,0.0814
random,416768,407,104192,3075785.7143,29.5204
random_index,416768,407,104192,67000.0000,0.6430
sequential,417792,408,104448,9128.5714,0.0874
random,417792,408,104448,3035571.4286,29.0630
random_index,417792,408,104448,64271.4286,0.6153
sequential,418816,409,104704,8214.2857,0.0785
random,418816,409,104704,3039100.0000,29.0256
random_index,418816,409,104704,63442.8571,0.6059
sequential,419840,410,104960,8971.4286,0.0855
random,419840,410,104960,3282585.7143,31.2746
random_index,419840,410,104960,65771.4286,0.6266
sequential,420864,411,105216,8285.7143,0.0787
random,420864,411,105216,3389542.8571,32.2151
random_index,420864,411,105216,96500.0000,0.9172
sequential,421888,412,105472,8300.0000,0.0787
