mode,size_bytes,size_kb,size_mb,elements,total_ns,ns_per_iter
sequential,666624,651.000000,0.635742,166656,96200,0.577237
random,666624,651.000000,0.635742,166656,5556900,33.343534
random_index,666624,651.000000,0.635742,166656,206400,1.238479
sequential,667648,652.000000,0.636719,166912,96400,0.577550
random,667648,652.000000,0.636719,166912,5550100,33.251654
random_index,667648,652.000000,0.636719,166912,205700,1.232386
sequential,668672,653.000000,0.637695,167168,96500,0.577264
random,668672,653.000000,0.637695,167168,5569300,33.315587
random_index,668672,653.000000,0.637695,167168,206500,1.235284
sequential,669696,654.000000,0.638672,167424,217500,1.299097
random,669696,654.000000,0.638672,167424,5580300,33.330347
random_index,669696,654.000000,0.638672,167424,207400,1.238771
sequential,670720,655.000000,0.639648,167680,96900,0.577886
random,670720,655.000000,0.639648,167680,5581000,33.283635
random_index,670720,655.000000,0.639648,167680,302800,1.805821
sequential,671744,656.000000,0.640625,167936,218100,1.298709
random,671744,656.000000,0.640625,167936,5585200,33.257908
random_index,671744,656.000000,0.640625,167936,206200,1.227849
sequential,672768,657.000000,0.641602,168192,218400,1.298516
random,672768,657.000000,0.641602,168192,5599300,33.291120
random_index,672768,657.000000,0.641602,168192,210200,1.249762
sequential,673792,658.000000,0.642578,168448,97300,0.577626
random,673792,658.000000,0.642578,168448,5610400,33.306421
random_index,673792,658.000000,0.642578,168448,236900,1.406369
sequential,674816,659.000000,0.643555,168704,97400,0.577343
random,674816,659.000000,0.643555,168704,5623200,33.331753
random_index,674816,659.000000,0.643555,168704,222300,1.317693
sequential,675840,660.000000,0.644531,168960,97500,0.577060
random,675840,660.000000,0.644531,168960,5619400,33.258759
random_index,675840,660.000000,0.644531,168960,210600,1.246449
sequential,676864,661.000000,0.645508,169216,220000,1.300113
random,676864,661.000000,0.645508,169216,5632800,33.287632
random_index,676864,661.000000,0.645508,169216,252900,1.494540
sequential,677888,662.000000,0.646484,169472,97900,0.577677
random,677888,662.000000,0.646484,169472,5638800,33.272753
random_index,677888,662.000000,0.646484,169472,436500,2.575647
sequential,678912,663.000000,0.647461,169728,98000,0.577394
random,678912,663.000000,0.647461,169728,5642700,33.245546
random_index,678912,663.000000,0.647461,169728,213300,1.256717
sequential,679936,664.000000,0.648438,169984,220700,1.298357
random,679936,664.000000,0.648438,169984,5653800,33.260777
random_index,679936,664.000000,0.648438,169984,219500,1.291298
sequential,680960,665.000000,0.649414,170240,98300,0.577420
random,680960,665.000000,0.649414,170240,5669000,33.300047
random_index,680960,665.000000,0.649414,170240,263000,1.544878
sequential,681984,666.000000,0.650391,170496,98400,0.577140
random,681984,666.000000,0.650391,170496,5678600,33.306353
random_index,681984,666.000000,0.650391,170496,212200,1.244604
sequential,683008,667.000000,0.651367,170752,98600,0.577446
random,683008,667.000000,0.651367,170752,5677200,33.248220
random_index,683008,667.000000,0.651367,170752,220900,1.293689
sequential,684032,668.000000,0.652344,171008,222000,1.298185
random,684032,668.000000,0.652344,171008,5697400,33.316570
random_index,684032,668.000000,0.652344,171008,212200,1.240878
sequential,685056,669.000000,0.653320,171264,165100,0.964009
random,685056,669.000000,0.653320,171264,5697200,33.265602
random_index,685056,669.000000,0.653320,171264,211800,1.236687
sequential,686080,670.000000,0.654297,171520,163500,0.953242
random,686080,670.000000,0.654297,171520,5726300,33.385611
random_index,686080,670.000000,0.654297,171520,217500,1.268074
sequential,687104,671.000000,0.655273,171776,100800,0.586811
random,687104,671.000000,0.655273,171776,5727500,33.342842
random_index,687104,671.000000,0.655273,171776,302500,1.761014
sequential,688128,672.000000,0.656250,172032,99300,0.577218
random,688128,672.000000,0.656250,172032,5732700,33.323451
random_index,688128,672.000000,0.656250,172032,217200,1.262556
sequential,689152,673.000000,0.657227,172288,401400,2.329820
random,689152,673.000000,0.657227,172288,5752800,33.390602
random_index,689152,673.000000,0.657227,172288,217200,1.260680
sequential,690176,674.000000,0.658203,172544,225000,1.304015
random,690176,674.000000,0.658203,172544,5738000,33.255286
random_index,690176,674.000000,0.658203,172544,217300,1.259389
sequential,691200,675.000000,0.659180,172800,224500,1.299190
random,691200,675.000000,0.659180,172800,5790100,33.507523
random_index,691200,675.000000,0.659180,172800,225100,1.302662
sequential,692224,676.000000,0.660156,173056,99900,0.577270
random,692224,676.000000,0.660156,173056,5812800,33.589127
random_index,692224,676.000000,0.660156,173056,217000,1.253929
sequential,693248,677.000000,0.661133,173312,225200,1.299391
random,693248,677.000000,0.661133,173312,5791500,33.416613
random_index,693248,677.000000,0.661133,173312,383600,2.213349
sequential,694272,678.000000,0.662109,173568,100200,0.577295
random,694272,678.000000,0.662109,173568,5838400,33.637537
random_index,694272,678.000000,0.662109,173568,229000,1.319368
sequential,695296,679.000000,0.663086,173824,378100,2.175189
random,695296,679.000000,0.663086,173824,5775100,33.223836
random_index,695296,679.000000,0.663086,173824,275400,1.584361
sequential,696320,680.000000,0.664062,174080,100500,0.577321
random,696320,680.000000,0.664062,174080,6214500,35.699104
random_index,696320,680.000000,0.664062,174080,446000,2.562040
sequential,697344,681.000000,0.665039,174336,170700,0.979144
random,697344,681.000000,0.665039,174336,6045700,34.678437
random_index,697344,681.000000,0.665039,174336,458600,2.630552
sequential,698368,682.000000,0.666016,174592,100800,0.577346
random,698368,682.000000,0.666016,174592,5814600,33.303931
random_index,698368,682.000000,0.666016,174592,216800,1.241752
sequential,699392,683.000000,0.666992,174848,101000,0.577645
random,699392,683.000000,0.666992,174848,5815300,33.259174
random_index,699392,683.000000,0.666992,174848,259700,1.485290
sequential,700416,684.000000,0.667969,175104,101100,0.577371
random,700416,684.000000,0.667969,175104,5834200,33.318485
random_index,700416,684.000000,0.667969,175104,218700,1.248972
sequential,701440,685.000000,0.668945,175360,101300,0.577669
random,701440,685.000000,0.668945,175360,5836800,33.284672
random_index,701440,685.000000,0.668945,175360,217300,1.239165
sequential,702464,686.000000,0.669922,175616,228000,1.298287
random,702464,686.000000,0.669922,175616,5893000,33.556168
random_index,702464,686.000000,0.669922,175616,216200,1.231095
sequential,703488,687.000000,0.670898,175872,101500,0.577124
random,703488,687.000000,0.670898,175872,5865600,33.351528
random_index,703488,687.000000,0.670898,175872,223200,1.269105
sequential,704512,688.000000,0.671875,176128,101700,0.577421
random,704512,688.000000,0.671875,176128,5859700,33.269554
random_index,704512,688.000000,0.671875,176128,222900,1.265557
sequential,705536,689.000000,0.672852,176384,101900,0.577717
random,705536,689.000000,0.672852,176384,5875800,33.312545
random_index,705536,689.000000,0.672852,176384,251600,1.426433
sequential,706560,690.000000,0.673828,176640,102000,0.577446
random,706560,690.000000,0.673828,176640,5880000,33.288043
random_index,706560,690.000000,0.673828,176640,251700,1.424932
sequential,707584,691.000000,0.674805,176896,103000,0.582263
random,707584,691.000000,0.674805,176896,5894200,33.320143
random_index,707584,691.000000,0.674805,176896,272500,1.540453
sequential,708608,692.000000,0.675781,177152,102600,0.579164
random,708608,692.000000,0.675781,177152,5933000,33.491013
random_index,708608,692.000000,0.675781,177152,229100,1.293240
sequential,709632,693.000000,0.676758,177408,102400,0.577201
random,709632,693.000000,0.676758,177408,5900300,33.258365
random_index,709632,693.000000,0.676758,177408,220300,1.241770
sequential,710656,694.000000,0.677734,177664,102500,0.576932
random,710656,694.000000,0.677734,177664,5915500,33.295997
random_index,710656,694.000000,0.677734,177664,223600,1.258555
sequential,711680,695.000000,0.678711,177920,231100,1.298898
random,711680,695.000000,0.678711,177920,5919300,33.269447
random_index,711680,695.000000,0.678711,177920,219300,1.232576
sequential,712704,696.000000,0.679688,178176,102900,0.577519
random,712704,696.000000,0.679688,178176,5934100,33.304710
random_index,712704,696.000000,0.679688,178176,223700,1.255500
sequential,713728,697.000000,0.680664,178432,103000,0.577251
random,713728,697.000000,0.680664,178432,5951300,33.353322
random_index,713728,697.000000,0.680664,178432,222600,1.247534
sequential,714752,698.000000,0.681641,178688,103200,0.577543
random,714752,698.000000,0.681641,178688,5954700,33.324566
random_index,714752,698.000000,0.681641,178688,227100,1.270930
sequential,715776,699.000000,0.682617,178944,232300,1.298171
random,715776,699.000000,0.682617,178944,5956100,33.284715
random_index,715776,699.000000,0.682617,178944,224600,1.255141
sequential,716800,700.000000,0.683594,179200,103600,0.578125
random,716800,700.000000,0.683594,179200,5964700,33.285156
random_index,716800,700.000000,0.683594,179200,232500,1.297433
sequential,717824,701.000000,0.684570,179456,103700,0.577858
random,717824,701.000000,0.684570,179456,6092700,33.950941
random_index,717824,701.000000,0.684570,179456,256700,1.430434
sequential,718848,702.000000,0.685547,179712,134000,0.745637
random,718848,702.000000,0.685547,179712,5986800,33.313301
random_index,718848,702.000000,0.685547,179712,296900,1.652088
sequential,719872,703.000000,0.686523,179968,104200,0.578992
random,719872,703.000000,0.686523,179968,5991300,33.290918
random_index,719872,703.000000,0.686523,179968,224200,1.245777
sequential,720896,704.000000,0.687500,180224,104200,0.578169
random,720896,704.000000,0.687500,180224,5997300,33.276922
random_index,720896,704.000000,0.687500,180224,255400,1.417125
sequential,721920,705.000000,0.688477,180480,117400,0.650488
random,721920,705.000000,0.688477,180480,6007100,33.284020
random_index,721920,705.000000,0.688477,180480,225400,1.248892
sequential,722944,706.000000,0.689453,180736,104400,0.577638
random,722944,706.000000,0.689453,180736,6016200,33.287226
random_index,722944,706.000000,0.689453,180736,240600,1.331223
sequential,723968,707.000000,0.690430,180992,182300,1.007227
random,723968,707.000000,0.690430,180992,6648300,36.732563
random_index,723968,707.000000,0.690430,180992,713500,3.942163
sequential,724992,708.000000,0.691406,181248,203100,1.120564
random,724992,708.000000,0.691406,181248,7768600,42.861714
random_index,724992,708.000000,0.691406,181248,527800,2.912032
sequential,726016,709.000000,0.692383,181504,119400,0.657837
random,726016,709.000000,0.692383,181504,6121100,33.724326
random_index,726016,709.000000,0.692383,181504,490200,2.700767
sequential,727040,710.000000,0.693359,181760,164000,0.902289
random,727040,710.000000,0.693359,181760,6134400,33.750000
random_index,727040,710.000000,0.693359,181760,475000,2.613336
sequential,728064,711.000000,0.694336,182016,105100,0.577422
random,728064,711.000000,0.694336,182016,6067900,33.337179
random_index,728064,711.000000,0.694336,182016,351400,1.930600
sequential,729088,712.000000,0.695312,182272,105200,0.577159
random,729088,712.000000,0.695312,182272,6063000,33.263474
random_index,729088,712.000000,0.695312,182272,429900,2.358563
sequential,730112,713.000000,0.696289,182528,237100,1.298979
random,730112,713.000000,0.696289,182528,6110600,33.477603
random_index,730112,713.000000,0.696289,182528,453500,2.484550
sequential,731136,714.000000,0.697266,182784,105500,0.577184
random,731136,714.000000,0.697266,182784,6112100,33.438922
random_index,731136,714.000000,0.697266,182784,452700,2.476694
sequential,732160,715.000000,0.698242,183040,105600,0.576923
random,732160,715.000000,0.698242,183040,6155500,33.629261
random_index,732160,715.000000,0.698242,183040,418900,2.288571
sequential,733184,716.000000,0.699219,183296,180800,0.986383
random,733184,716.000000,0.699219,183296,6252900,34.113674
random_index,733184,716.000000,0.699219,183296,448700,2.447953
sequential,734208,717.000000,0.700195,183552,106000,0.577493
random,734208,717.000000,0.700195,183552,6149900,33.504947
random_index,734208,717.000000,0.700195,183552,396800,2.161785
sequential,735232,718.000000,0.701172,183808,223800,1.217575
random,735232,718.000000,0.701172,183808,6168700,33.560563
random_index,735232,718.000000,0.701172,183808,464800,2.528726
sequential,736256,719.000000,0.702148,184064,106200,0.576973
random,736256,719.000000,0.702148,184064,6148000,33.401426
random_index,736256,719.000000,0.702148,184064,536900,2.916920
sequential,737280,720.000000,0.703125,184320,106500,0.577799
random,737280,720.000000,0.703125,184320,6422500,34.844293
random_index,737280,720.000000,0.703125,184320,228100,1.237522
sequential,738304,721.000000,0.704102,184576,106500,0.576998
random,738304,721.000000,0.704102,184576,6192400,33.549324
random_index,738304,721.000000,0.704102,184576,232800,1.261269
sequential,739328,722.000000,0.705078,184832,106700,0.577281
random,739328,722.000000,0.705078,184832,6165000,33.354614
random_index,739328,722.000000,0.705078,184832,486700,2.633202
sequential,740352,723.000000,0.706055,185088,106800,0.577023
random,740352,723.000000,0.706055,185088,6478700,35.003350
random_index,740352,723.000000,0.706055,185088,468100,2.529067
sequential,741376,724.000000,0.707031,185344,107000,0.577305
random,741376,724.000000,0.707031,185344,6406900,34.567615
random_index,741376,724.000000,0.707031,185344,426000,2.298429
sequential,742400,725.000000,0.708008,185600,107100,0.577047
random,742400,725.000000,0.708008,185600,6191200,33.357759
random_index,742400,725.000000,0.708008,185600,425500,2.292565
sequential,743424,726.000000,0.708984,185856,107300,0.577329
random,743424,726.000000,0.708984,185856,6323600,34.024191
random_index,743424,726.000000,0.708984,185856,256700,1.381177
sequential,744448,727.000000,0.709961,186112,107400,0.577072
random,744448,727.000000,0.709961,186112,6249300,33.578168
random_index,744448,727.000000,0.709961,186112,315800,1.696828
sequential,745472,728.000000,0.710938,186368,107600,0.577352
random,745472,728.000000,0.710938,186368,6209800,33.320098
random_index,745472,728.000000,0.710938,186368,403700,2.166144
sequential,746496,729.000000,0.711914,186624,107900,0.578168
random,746496,729.000000,0.711914,186624,6210800,33.279750
random_index,746496,729.000000,0.711914,186624,412500,2.210327
sequential,747520,730.000000,0.712891,186880,107800,0.576841
random,747520,730.000000,0.712891,186880,6252000,33.454623
random_index,747520,730.000000,0.712891,186880,411700,2.203018
sequential,748544,731.000000,0.713867,187136,108000,0.577120
random,748544,731.000000,0.713867,187136,6270600,33.508251
random_index,748544,731.000000,0.713867,187136,438400,2.342681
sequential,749568,732.000000,0.714844,187392,108200,0.577399
random,749568,732.000000,0.714844,187392,6252400,33.365352
random_index,749568,732.000000,0.714844,187392,382300,2.040108
sequential,750592,733.000000,0.715820,187648,111100,0.592066
random,750592,733.000000,0.715820,187648,6261400,33.367795
random_index,750592,733.000000,0.715820,187648,409800,2.183876
sequential,751616,734.000000,0.716797,187904,175900,0.936116
random,751616,734.000000,0.716797,187904,6307500,33.567673
random_index,751616,734.000000,0.716797,187904,480000,2.554496
sequential,752640,735.000000,0.717773,188160,108700,0.577700
random,752640,735.000000,0.717773,188160,6401300,34.020514
random_index,752640,735.000000,0.717773,188160,495300,2.632334
sequential,753664,736.000000,0.718750,188416,108700,0.576915
random,753664,736.000000,0.718750,188416,6448200,34.223208
random_index,753664,736.000000,0.718750,188416,494800,2.626104
sequential,754688,737.000000,0.719727,188672,109000,0.577722
random,754688,737.000000,0.719727,188672,6466800,34.275356
random_index,754688,737.000000,0.719727,188672,503100,2.666532
sequential,755712,738.000000,0.720703,188928,109000,0.576939
random,755712,738.000000,0.720703,188928,6482300,34.310954
random_index,755712,738.000000,0.720703,188928,283700,1.501630
sequential,756736,739.000000,0.721680,189184,109200,0.577216
random,756736,739.000000,0.721680,189184,6307900,33.342672
random_index,756736,739.000000,0.721680,189184,263500,1.392824
sequential,757760,740.000000,0.722656,189440,109400,0.577492
random,757760,740.000000,0.722656,189440,6343700,33.486592
random_index,757760,740.000000,0.722656,189440,246500,1.301204
sequential,758784,741.000000,0.723633,189696,131300,0.692160
random,758784,741.000000,0.723633,189696,6314100,33.285362
random_index,758784,741.000000,0.723633,189696,278900,1.470247
sequential,759808,742.000000,0.724609,189952,109700,0.577514
random,759808,742.000000,0.724609,189952,6337800,33.365271
random_index,759808,742.000000,0.724609,189952,430000,2.263730
sequential,760832,743.000000,0.725586,190208,109800,0.577263
random,760832,743.000000,0.725586,190208,6339300,33.328251
random_index,760832,743.000000,0.725586,190208,242100,1.272817
sequential,761856,744.000000,0.726562,190464,175500,0.921434
random,761856,744.000000,0.726562,190464,6382600,33.510795
random_index,761856,744.000000,0.726562,190464,249900,1.312059
sequential,762880,745.000000,0.727539,190720,110100,0.577286
random,762880,745.000000,0.727539,190720,9070500,47.559249
random_index,762880,745.000000,0.727539,190720,472000,2.474832
sequential,763904,746.000000,0.728516,190976,110300,0.577559
random,763904,746.000000,0.728516,190976,6362000,33.313086
random_index,763904,746.000000,0.728516,190976,238000,1.246230
sequential,764928,747.000000,0.729492,191232,110300,0.576786
random,764928,747.000000,0.729492,191232,6362500,33.271105
random_index,764928,747.000000,0.729492,191232,245900,1.285873
sequential,765952,748.000000,0.730469,191488,110500,0.577060
random,765952,748.000000,0.730469,191488,6381200,33.324281
random_index,765952,748.000000,0.730469,191488,290300,1.516022
sequential,766976,749.000000,0.731445,191744,110800,0.577854
random,766976,749.000000,0.731445,191744,6387300,33.311603
random_index,766976,749.000000,0.731445,191744,269800,1.407084
sequential,768000,750.000000,0.732422,192000,110900,0.577604
random,768000,750.000000,0.732422,192000,6392900,33.296354
random_index,768000,750.000000,0.732422,192000,243100,1.266146
sequential,769024,751.000000,0.733398,192256,156000,0.811418
random,769024,751.000000,0.733398,192256,6403900,33.309234
random_index,769024,751.000000,0.733398,192256,315900,1.643122
sequential,770048,752.000000,0.734375,192512,111100,0.577107
random,770048,752.000000,0.734375,192512,6417400,33.335065
random_index,770048,752.000000,0.734375,192512,244500,1.270051
sequential,771072,753.000000,0.735352,192768,250200,1.297933
random,771072,753.000000,0.735352,192768,6417600,33.291833
random_index,771072,753.000000,0.735352,192768,267000,1.385085
sequential,772096,754.000000,0.736328,193024,111800,0.579203
random,772096,754.000000,0.736328,193024,6467800,33.507750
random_index,772096,754.000000,0.736328,193024,249100,1.290513
sequential,773120,755.000000,0.737305,193280,111500,0.576883
random,773120,755.000000,0.737305,193280,6440100,33.320054
random_index,773120,755.000000,0.737305,193280,279000,1.443502
sequential,774144,756.000000,0.738281,193536,111600,0.576637
random,774144,756.000000,0.738281,193536,6461200,33.385003
random_index,774144,756.000000,0.738281,193536,247600,1.279349
sequential,775168,757.000000,0.739258,193792,220400,1.137302
random,775168,757.000000,0.739258,193792,6455900,33.313553
random_index,775168,757.000000,0.739258,193792,277600,1.432464
sequential,776192,758.000000,0.740234,194048,157200,0.810109
random,776192,758.000000,0.740234,194048,6473100,33.358241
random_index,776192,758.000000,0.740234,194048,350000,1.803677
sequential,777216,759.000000,0.741211,194304,252500,1.299510
random,777216,759.000000,0.741211,194304,6470900,33.302969
random_index,777216,759.000000,0.741211,194304,344600,1.773510
sequential,778240,760.000000,0.742188,194560,193100,0.992496
random,778240,760.000000,0.742188,194560,6509200,33.456003
random_index,778240,760.000000,0.742188,194560,247100,1.270045
sequential,779264,761.000000,0.743164,194816,112400,0.576955
random,779264,761.000000,0.743164,194816,6524900,33.492629
random_index,779264,761.000000,0.743164,194816,300200,1.540941
sequential,780288,762.000000,0.744141,195072,253400,1.299008
random,780288,762.000000,0.744141,195072,6513500,33.390235
random_index,780288,762.000000,0.744141,195072,280800,1.439469
sequential,781312,763.000000,0.745117,195328,112700,0.576978
random,781312,763.000000,0.745117,195328,6497800,33.266096
random_index,781312,763.000000,0.745117,195328,257400,1.317783
sequential,782336,764.000000,0.746094,195584,112900,0.577246
random,782336,764.000000,0.746094,195584,6511600,33.293112
random_index,782336,764.000000,0.746094,195584,308400,1.576816
sequential,783360,765.000000,0.747070,195840,132500,0.676573
random,783360,765.000000,0.747070,195840,6533400,33.360907
random_index,783360,765.000000,0.747070,195840,278500,1.422079
sequential,784384,766.000000,0.748047,196096,113100,0.576758
random,784384,766.000000,0.748047,196096,6604100,33.677892
random_index,784384,766.000000,0.748047,196096,486700,2.481948
sequential,785408,767.000000,0.749023,196352,113200,0.576516
random,785408,767.000000,0.749023,196352,6563100,33.425175
random_index,785408,767.000000,0.749023,196352,469600,2.391623
sequential,786432,768.000000,0.750000,196608,185200,0.941976
random,786432,768.000000,0.750000,196608,6543300,33.280945
random_index,786432,768.000000,0.750000,196608,471900,2.400208
sequential,787456,769.000000,0.750977,196864,113700,0.577556
random,787456,769.000000,0.750977,196864,6636200,33.709566
random_index,787456,769.000000,0.750977,196864,482300,2.449915
sequential,788480,770.000000,0.751953,197120,113700,0.576806
random,788480,770.000000,0.751953,197120,6579900,33.380175
random_index,788480,770.000000,0.751953,197120,517100,2.623275
sequential,789504,771.000000,0.752930,197376,114000,0.577578
random,789504,771.000000,0.752930,197376,6690200,33.895712
random_index,789504,771.000000,0.752930,197376,533600,2.703470
sequential,790528,772.000000,0.753906,197632,114100,0.577336
random,790528,772.000000,0.753906,197632,6677200,33.786027
random_index,790528,772.000000,0.753906,197632,495500,2.507185
sequential,791552,773.000000,0.754883,197888,114200,0.577094
random,791552,773.000000,0.754883,197888,6731200,34.015201
random_index,791552,773.000000,0.754883,197888,523100,2.643414
sequential,792576,774.000000,0.755859,198144,114300,0.576853
random,792576,774.000000,0.755859,198144,7364700,37.168423
random_index,792576,774.000000,0.755859,198144,532600,2.687944
sequential,793600,775.000000,0.756836,198400,114600,0.577621
random,793600,775.000000,0.756836,198400,7381400,37.204637
random_index,793600,775.000000,0.756836,198400,538500,2.714214
sequential,794624,776.000000,0.757812,198656,114700,0.577380
random,794624,776.000000,0.757812,198656,6775600,34.107200
random_index,794624,776.000000,0.757812,198656,500900,2.521444
sequential,795648,777.000000,0.758789,198912,114700,0.576637
random,795648,777.000000,0.758789,198912,6612000,33.240830
random_index,795648,777.000000,0.758789,198912,252400,1.268903
sequential,796672,778.000000,0.759766,199168,115000,0.577402
random,796672,778.000000,0.759766,199168,6629700,33.286974
random_index,796672,778.000000,0.759766,199168,257100,1.290870
sequential,797696,779.000000,0.760742,199424,115100,0.577162
random,797696,779.000000,0.760742,199424,6637900,33.285362
random_index,797696,779.000000,0.760742,199424,287800,1.443156
sequential,798720,780.000000,0.761719,199680,115300,0.577424
random,798720,780.000000,0.761719,199680,6796400,34.036458
random_index,798720,780.000000,0.761719,199680,509300,2.550581
sequential,799744,781.000000,0.762695,199936,121700,0.608695
random,799744,781.000000,0.762695,199936,6977900,34.900668
random_index,799744,781.000000,0.762695,199936,516300,2.582326
sequential,800768,782.000000,0.763672,200192,115600,0.577446
random,800768,782.000000,0.763672,200192,7085400,35.393023
random_index,800768,782.000000,0.763672,200192,510300,2.549053
sequential,801792,783.000000,0.764648,200448,115700,0.577207
random,801792,783.000000,0.764648,200448,6766200,33.755388
random_index,801792,783.000000,0.764648,200448,259700,1.295598
sequential,802816,784.000000,0.765625,200704,116000,0.577966
random,802816,784.000000,0.765625,200704,6960300,34.679428
random_index,802816,784.000000,0.765625,200704,267800,1.334303
sequential,803840,785.000000,0.766602,200960,116000,0.577229
random,803840,785.000000,0.766602,200960,6769100,33.683818
random_index,803840,785.000000,0.766602,200960,497900,2.477607
sequential,804864,786.000000,0.767578,201216,116100,0.576992
random,804864,786.000000,0.767578,201216,6764200,33.616611
random_index,804864,786.000000,0.767578,201216,522800,2.598203
sequential,805888,787.000000,0.768555,201472,188900,0.937599
random,805888,787.000000,0.768555,201472,7326600,36.365351
random_index,805888,787.000000,0.768555,201472,407000,2.020132
sequential,806912,788.000000,0.769531,201728,116400,0.577015
random,806912,788.000000,0.769531,201728,6870500,34.058237
random_index,806912,788.000000,0.769531,201728,476700,2.363083
sequential,807936,789.000000,0.770508,201984,116600,0.577273
random,807936,789.000000,0.770508,201984,7194400,35.618663
random_index,807936,789.000000,0.770508,201984,529500,2.621495
sequential,808960,790.000000,0.771484,202240,116900,0.578026
random,808960,790.000000,0.771484,202240,6723400,33.244660
random_index,808960,790.000000,0.771484,202240,257600,1.273734
sequential,809984,791.000000,0.772461,202496,116900,0.577295
random,809984,791.000000,0.772461,202496,6850200,33.828816
random_index,809984,791.000000,0.772461,202496,514400,2.540297
sequential,811008,792.000000,0.773438,202752,117100,0.577553
random,811008,792.000000,0.773438,202752,6918400,34.122475
random_index,811008,792.000000,0.773438,202752,509500,2.512922
sequential,812032,793.000000,0.774414,203008,117300,0.577810
random,812032,793.000000,0.774414,203008,6823900,33.613946
random_index,812032,793.000000,0.774414,203008,503400,2.479705
sequential,813056,794.000000,0.775391,203264,117400,0.577574
random,813056,794.000000,0.775391,203264,6884500,33.869746
random_index,813056,794.000000,0.775391,203264,517900,2.547918
sequential,814080,795.000000,0.776367,203520,117500,0.577339
random,814080,795.000000,0.776367,203520,6918900,33.996167
random_index,814080,795.000000,0.776367,203520,505600,2.484277
sequential,815104,796.000000,0.777344,203776,117700,0.577595
random,815104,796.000000,0.777344,203776,7021400,34.456462
random_index,815104,796.000000,0.777344,203776,528700,2.594516
sequential,816128,797.000000,0.778320,204032,117900,0.577851
random,816128,797.000000,0.778320,204032,6837900,33.513861
random_index,816128,797.000000,0.778320,204032,517600,2.536857
sequential,817152,798.000000,0.779297,204288,118000,0.577616
random,817152,798.000000,0.779297,204288,6936900,33.956473
random_index,817152,798.000000,0.779297,204288,526300,2.576265
sequential,818176,799.000000,0.780273,204544,118000,0.576893
random,818176,799.000000,0.780273,204544,6820800,33.346370
random_index,818176,799.000000,0.780273,204544,518600,2.535396
sequential,819200,800.000000,0.781250,204800,118100,0.576660
random,819200,800.000000,0.781250,204800,6837300,33.385254
random_index,819200,800.000000,0.781250,204800,551000,2.690430
sequential,820224,801.000000,0.782227,205056,118300,0.576916
random,820224,801.000000,0.782227,205056,7040300,34.333548
random_index,820224,801.000000,0.782227,205056,539300,2.630013
sequential,821248,802.000000,0.783203,205312,197400,0.961464
random,821248,802.000000,0.783203,205312,6998600,34.087632
random_index,821248,802.000000,0.783203,205312,518600,2.525912
sequential,822272,803.000000,0.784180,205568,202400,0.984589
random,822272,803.000000,0.784180,205568,6985900,33.983402
random_index,822272,803.000000,0.784180,205568,533000,2.592816
sequential,823296,804.000000,0.785156,205824,118800,0.577192
random,823296,804.000000,0.785156,205824,6855800,33.309041
random_index,823296,804.000000,0.785156,205824,508000,2.468128
sequential,824320,805.000000,0.786133,206080,118800,0.576475
random,824320,805.000000,0.786133,206080,6865200,33.313276
random_index,824320,805.000000,0.786133,206080,476700,2.313179
sequential,825344,806.000000,0.787109,206336,268100,1.299337
random,825344,806.000000,0.787109,206336,6900700,33.443994
random_index,825344,806.000000,0.787109,206336,268700,1.302245
sequential,826368,807.000000,0.788086,206592,284100,1.375174
random,826368,807.000000,0.788086,206592,6868400,33.246205
random_index,826368,807.000000,0.788086,206592,258700,1.252227
sequential,827392,808.000000,0.789062,206848,130700,0.631865
random,827392,808.000000,0.789062,206848,6907300,33.393120
random_index,827392,808.000000,0.789062,206848,333900,1.614229
sequential,828416,809.000000,0.790039,207104,268900,1.298381
random,828416,809.000000,0.790039,207104,6900400,33.318526
random_index,828416,809.000000,0.790039,207104,536200,2.589037
sequential,829440,810.000000,0.791016,207360,119700,0.577257
random,829440,810.000000,0.791016,207360,7140500,34.435282
random_index,829440,810.000000,0.791016,207360,545600,2.631173
sequential,830464,811.000000,0.791992,207616,119900,0.577508
random,830464,811.000000,0.791992,207616,7123300,34.309976
random_index,830464,811.000000,0.791992,207616,538900,2.595657
sequential,831488,812.000000,0.792969,207872,120000,0.577278
random,831488,812.000000,0.792969,207872,7147300,34.383178
random_index,831488,812.000000,0.792969,207872,511000,2.458244
sequential,832512,813.000000,0.793945,208128,120200,0.577529
random,832512,813.000000,0.793945,208128,7068800,33.963715
random_index,832512,813.000000,0.793945,208128,547100,2.628671
sequential,833536,814.000000,0.794922,208384,120300,0.577300
random,833536,814.000000,0.794922,208384,6945000,33.327895
random_index,833536,814.000000,0.794922,208384,535800,2.571215
sequential,834560,815.000000,0.795898,208640,120500,0.577550
random,834560,815.000000,0.795898,208640,6951500,33.318156
random_index,834560,815.000000,0.795898,208640,517700,2.481308
sequential,835584,816.000000,0.796875,208896,120600,0.577321
random,835584,816.000000,0.796875,208896,7082800,33.905867
random_index,835584,816.000000,0.796875,208896,539500,2.582625
sequential,836608,817.000000,0.797852,209152,120800,0.577570
random,836608,817.000000,0.797852,209152,7152000,34.195226
random_index,836608,817.000000,0.797852,209152,555800,2.657397
sequential,837632,818.000000,0.798828,209408,120900,0.577342
random,837632,818.000000,0.798828,209408,7087500,33.845412
random_index,837632,818.000000,0.798828,209408,553300,2.642210
