mode,size_bytes,size_kb,size_mb,elements,total_ns,ns_per_iter
random_index,34816,34.000000,0.033203,8704,10700,1.229320
sequential,35840,35.000000,0.034180,8960,8800,0.982143
random,35840,35.000000,0.034180,8960,342600,38.236607
random_index,35840,35.000000,0.034180,8960,8200,0.915179
sequential,36864,36.000000,0.035156,9216,9700,1.052517
random,36864,36.000000,0.035156,9216,355400,38.563368
random_index,36864,36.000000,0.035156,9216,11900,1.291233
sequential,37888,37.000000,0.036133,9472,9900,1.045186
random,37888,37.000000,0.036133,9472,345200,36.444257
random_index,37888,37.000000,0.036133,9472,14100,1.488598
sequential,38912,38.000000,0.037109,9728,10700,1.099918
random,38912,38.000000,0.037109,9728,362400,37.253289
random_index,38912,38.000000,0.037109,9728,8900,0.914885
sequential,39936,39.000000,0.038086,9984,6900,0.691106
random,39936,39.000000,0.038086,9984,386900,38.752003
random_index,39936,39.000000,0.038086,9984,8700,0.871394
sequential,40960,40.000000,0.039062,10240,6500,0.634766
random,40960,40.000000,0.039062,10240,373000,36.425781
random_index,40960,40.000000,0.039062,10240,8700,0.849609
sequential,41984,41.000000,0.040039,10496,12300,1.171875
random,41984,41.000000,0.040039,10496,416600,39.691311
random_index,41984,41.000000,0.040039,10496,10200,0.971799
sequential,43008,42.000000,0.041016,10752,12700,1.181176
random,43008,42.000000,0.041016,10752,415700,38.662574
random_index,43008,42.000000,0.041016,10752,9300,0.864955
sequential,44032,43.000000,0.041992,11008,13400,1.217297
random,44032,43.000000,0.041992,11008,416600,37.845203
random_index,44032,43.000000,0.041992,11008,14300,1.299055
sequential,45056,44.000000,0.042969,11264,12200,1.083097
random,45056,44.000000,0.042969,11264,429400,38.121449
random_index,45056,44.000000,0.042969,11264,10100,0.896662
sequential,46080,45.000000,0.043945,11520,14300,1.241319
random,46080,45.000000,0.043945,11520,403000,34.982639
random_index,46080,45.000000,0.043945,11520,10000,0.868056
sequential,47104,46.000000,0.044922,11776,7500,0.636889
random,47104,46.000000,0.044922,11776,448200,38.060462
random_index,47104,46.000000,0.044922,11776,11800,1.002038
sequential,48128,47.000000,0.045898,12032,7700,0.639960
random,48128,47.000000,0.045898,12032,439200,36.502660
random_index,48128,47.000000,0.045898,12032,9800,0.814495
sequential,49152,48.000000,0.046875,12288,7100,0.577799
random,49152,48.000000,0.046875,12288,428300,34.855143
random_index,49152,48.000000,0.046875,12288,10100,0.821940
sequential,50176,49.000000,0.047852,12544,13500,1.076212
random,50176,49.000000,0.047852,12544,462700,36.886161
random_index,50176,49.000000,0.047852,12544,10300,0.821110
sequential,51200,50.000000,0.048828,12800,8200,0.640625
random,51200,50.000000,0.048828,12800,478900,37.414062
random_index,51200,50.000000,0.048828,12800,12300,0.960938
sequential,52224,51.000000,0.049805,13056,8100,0.620404
random,52224,51.000000,0.049805,13056,498200,38.158701
random_index,52224,51.000000,0.049805,13056,14400,1.102941
sequential,53248,52.000000,0.050781,13312,7700,0.578425
random,53248,52.000000,0.050781,13312,464000,34.855769
random_index,53248,52.000000,0.050781,13312,11200,0.841346
sequential,54272,53.000000,0.051758,13568,7800,0.574882
random,54272,53.000000,0.051758,13568,472600,34.831958
random_index,54272,53.000000,0.051758,13568,11300,0.832842
sequential,55296,54.000000,0.052734,13824,8000,0.578704
